skz,name,street,zip,city,phone,email,website,principal,school_type
409,Bundesgymnasium Wien,Laaer-Berg-Straße 25-29,1100,Wien,01/6043422,,www.grg10laa.asn-wien.ac.at,,AHS
414,Volksschule Wien,Oberlaaer Platz 1,1100,Wien,01/685573,,vsoberlaa.pcnews.at,,"Volksschule, Grundbildung"
417,Volksschule Wien,Schillgasse 31,1210,Wien,01/2702694,,www.schulen.wien.at/schulen/921181,,"Volksschule, Grundbildung"
440,Neue Mittelschule Wien,Stromstraße 40,1200,Wien,01/3325042,,www.schulen.wien.at/schulen/920072,,"Neue Mittelschule, Hauptschule, Sekundarbildung Unterstufe"
455,Bundes-Oberstufenrealgymnasium Wien,Hegelgasse 12,1010,Wien,01/5123937,,h12.at,,AHS
479,Berufsschule für Handel und Administration Wien,Panikengasse 31,1160,Wien,01/59916-95905,,www.bsha.at,,"Berufsschule, Sekundarbildung Oberstufe"
491,2e Neue Mittelschule Sankt Marien Wien,Liniengasse 21,1060,Wien,01/5962139,,www.blackboard.at/schulen/stmarien,,"Neue Mittelschule, Sekundarbildung Unterstufe"
520,Volksschule Josefinum der Pfarre Breitensee Wien,Breitenseer Straße 31,1140,Wien,01/9821343,,www.josefinum.at,,"Volksschule, Grundbildung"
524,Neue Mittelschule Wien,Dr.-Skala-Straße 43-45,1210,Wien,01/2922563,,www.schulen.wien.at/schulen/921042,,"Neue Mittelschule, Sekundarbildung Unterstufe"
555,Volksschule Wien,Grubergasse 4,1160,Wien,01/4861171,,www.schulen.wien.at/schulen/916021,,"Volksschule, Grundbildung"
559,Volksschule Wien,Vorgartenstraße 95-97,1200,Wien,01/3303152,,www.europaschule-wien.com,,"Volksschule, Grundbildung"
603,Polytechnische Schule Wien,Anton Baumgartner-Straße 44,1230,Wien,01/,,www.schulen.wien.at/schulen/923024,,"Polytechnische Schule, Sekundarbildung Oberstufe"
629,Neue Mittelschule Wien,Georg-Wilhelm-Pabst-Gasse 2a,1100,Wien,01/6041296,,www.schulen.wien.at/schulen/910022,,"Neue Mittelschule, Hauptschule, Sekundarbildung Unterstufe"
669,Volksschule Wien,Knollgasse 6,1170,Wien,01/4863124,,www.vsknollgasse.at,,"Volksschule, Grundbildung"
791,Volksschule Wien,Pastinakweg 10,1220,Wien,01/7341601,,www.wbn.wien.at/schulen/922291,,"Volksschule, Grundbildung"
838,Bundesrealgymnasium Wien,Glasergasse 25,1090,Wien,01/3175459,,www.erich-fried-realgymnasium.at,,AHS
848,Neue Mittelschule Wien,Svetelskystraße 4-6,1110,Wien,01/,,www.brunokreiskyschule.at,,"Neue Mittelschule, Sekundarbildung Unterstufe"
872,Volksschule Wien,Märzstraße 178-180,1140,Wien,01/9857136,,www.vsmaerzstrasse.at,,"Volksschule, Grundbildung"
883,Volksschule Wien,Flotowgasse 25,1190,Wien,01/3203466,,www.schulen.wien.at/schulen/91902,,"Volksschule, Grundbildung"
947,Allgemeine Sonderschule Wien,Diehlgasse 2,1050,Wien,01/5442782/311,,www.diehlgasse.at,,"Sonderschule, Sonderschule, Sekundarbildung Unterstufe, Grundbildung"
952,Vienna Business School Handelsakademie und Handelsschule Floridsdorf des Fonds der Wiener Kaufmannschaft Wien,Franklinstraße 24,1210,Wien,01/2706288,,www.floridsdorf.vbs.ac.at,,"Kaufmännische Schule, Sekundarbildung Oberstufe"
972,Volksschule Wien,Alxingergasse 82,1100,Wien,01/6040144,,www.schulen.wien.at/schulen/910021,,"Volksschule, Grundbildung"
1047,Bundes-Oberstufenrealgymnasium Wien,Hegelgasse 14,1010,Wien,01/5125186,,www.he14.at,,AHS
1049,Berufsschule für Verwaltungsberufe Wien,Castelligasse 9,1050,Wien,01/59916-95935,,www.bs-wien.at,,"Berufsschule, Sekundarbildung Oberstufe"
1072,Neue Mittelschule Wien,Prinzgasse 3,1226,Wien,01/2821443,,kmsi-prinzgasse.schule.wien.at,,"Neue Mittelschule, Sekundarbildung Unterstufe"
1089,Neue Mittelschule I Wien,Adolf-Loos-Gasse 2,1210,Wien,01/2596411,,www.nmsadolfloosgasse.at,,"Neue Mittelschule, Sekundarbildung Unterstufe"
1108,Bundesgymnasium Wien,Klostergasse 25,1180,Wien,01/4792127,,www.klostergasse.at,,AHS
1150,Neue Mittelschule Wien,Josef-Enslein-Platz 1-3,1100,Wien,01/6173707,,www.ensleinschule.at,,"Neue Mittelschule, Sekundarbildung Unterstufe"
